volume_m3,slope_deg,potential_energy_MJ,plastic_energy_MJ_front,plastic_energy_MJ_rear,sleout_energy_max_J,impact_duration_s,rcforce_force_max_N,rcforce_impulse_Ns
3949,37,3252,778.9619123,705.8853029,30960000,5.312002182,20680772.58,6959641.116
914,53,978,121.4345935,160.2841866,6834000,4.041000128,16175849.42,2413003.466
4558,60,5269,770.0287951,492.9972611,18740000,4.780998945,23899646.67,5024943.451
3166,36,2545,778.2722696,527.0473981,19790000,4.395000696,18998790.04,4985195.611
4075,51,4247,781.2854832,717.04308,24010000,4.808999777,14840369.67,6380312.15
1389,45,1339,437.0178245,143.574287,8858000,4.459999085,22940276.38,2240965.622
5078,55,5573,773.9691239,577.9101238,19750000,4.22900033,21985321.35,5831543.102
1124,49,1160,284.8088497,248.5955874,9482000,4.493999958,20998830.17,1971535.19
3560,58,4037,771.952019,562.9224192,19900000,4.259999991,18256569.33,5189044.393
2188,52,2321,761.1883201,401.2321586,16650000,4.760000229,22878669.67,4533786.611
3106,56,3465,774.1655843,451.8328647,18660000,4.41499877,22522876,5302917.209
2184,59,2514,702.3863833,606.8305062,19170000,3.981002092,18376984.08,4381715.422
3683,39,3150,777.1451312,744.2589927,27800000,5.403998613,23767487.31,6160222.652
1961,33,1480,301.9669366,208.5511292,8602000,4.614999771,25920391.92,2174952.695
1077,40,927,124.4837027,88.70100913,4134000,3.769001007,25423135.35,1494661.102
1163,44,1095,155.0094031,154.2151163,5551000,3.975000143,23962593.05,1720151.613
3531,47,3495,769.5825008,669.6355526,22880000,4.195002079,21843861.56,6204841.151
4990,47,4927,769.0275852,716.6743099,23960000,4.845000267,18557165.67,6553637.306
2271,36,1822,264.5404087,315.8096534,9969000,4.237001181,26069893.5,2696176.99
2122,32,1549,371.5765332,183.0899124,9387000,4.889998913,25649075.6,2963169.254
1313,56,1440,345.9570135,305.3912096,11960000,4.258999825,16017383,2668957.484
2898,30,2009,574.7978745,284.5455872,13680000,5.095998764,21474993.83,3524669.527
1490,42,1352,136.589098,250.2761677,7110000,3.683001042,24026589.98,2235357.794
1215,42,1099,252.6584636,148.8643722,7086000,3.832999945,24854319.5,1833115.287
2658,33,2007,494.1118941,238.4095216,11460000,4.851998806,23132730.67,2808123.601
3501,34,2699,719.2472099,614.7649571,22140000,5.188001394,21851609.92,5580657.126
3759,54,4065,773.4111924,629.0620974,20580000,3.967999935,34966400.67,5675410.675
1650,31,1177,218.8364181,163.9414853,6416000,4.620999813,27070343.92,2097757.138
2293,43,2108,568.8111749,333.2683499,14410000,4.199999094,23767592.29,2975506.643
5235,30,3619,769.7474506,679.9863837,26150000,6.790999413,21627317.33,7148310.394
1172,36,939,188.476453,66.03562875,4430000,3.944999218,16158246.67,1311276.616
757,36,608,115.0007508,64.97892634,3224000,3.029000759,3676018.167,706520.2202
1445,42,1316,200.6170742,198.5436381,7031000,3.730000019,24637552.94,1964908.527
3419,57,3824,780.2427122,485.2935752,19700000,4.658000946,16538829.33,5108331.201
1969,43,1810,348.1740444,315.16107,11630000,4.724000692,25070517.79,3013037.201
2206,44,2068,491.1903906,391.6426235,14600000,4.338999987,18234680.76,2849288.788
1061,56,1188,297.5362596,162.3226628,9049000,3.998000145,15189353.33,2052717.651
4913,42,4449,771.8233912,728.1775693,30000000,5.964000702,27934949.33,7723854.52
1601,39,1361,209.4300431,199.1318235,6810000,5.016000986,24533000,2114713.709
1040,54,1147,185.0490803,201.4701636,8916000,4.257999182,16455366.64,2469898.458
1212,48,1213,247.661603,176.9717647,7621000,3.924998999,20339564.01,2172948.991
3461,60,3967,748.2803019,405.7019436,17830000,4.314998865,19051757.33,5341328.913
814,58,915,302.7204506,125.8524561,7166000,3.707000971,4015035.583,1547023.947
1807,48,1822,442.7626699,337.3076996,12990000,3.601000071,21781968.56,3022986.481
1371,60,1562,521.0953536,229.2800131,11180000,3.317999125,15210112,2150285.62
3627,38,3048,776.7190556,711.7316054,28640000,5.143999338,25874563.67,6030922.236
4746,46,4625,765.3676888,706.5331232,24630000,4.17000103,21428766.67,5698161.571
3628,60,4220,773.7292678,506.6634449,19260000,4.529000759,20361107.68,5155600.345
4587,55,5037,770.9925879,505.869682,19490000,4.292999029,22506627.5,5182119.397
1254,49,1273,418.7190761,142.8634463,9362000,3.35200119,19283621.83,1836953.578
2232,53,2387,344.5642221,427.1831018,14390000,4.051001072,18790001.67,3599810.779
3482,37,2880,693.9973101,693.4580897,21760000,4.387001038,20259506.77,5316596.044
2520,30,1748,237.7206418,204.4940193,8282000,5.611999989,25984398.67,3250674.963
3194,36,2560,725.5572143,561.4095362,20510000,5.188999176,24368241.65,4544137.029
1517,49,1564,363.7723667,318.4927764,11550000,3.236999989,22349753.33,2795163.407
3003,41,2675,737.3292646,506.3650633,20370000,5.048997879,17271653,4536583.105
2759,49,2805,746.5506741,530.0125581,18870000,4.077998877,17377191,5026446.938
3045,54,3288,770.1088577,579.1705386,19500000,4.314001322,19554721.33,4901698.527
5305,43,4911,772.0027217,689.8572592,23310000,4.416001082,20480517.96,6981062.354
1417,59,1595,428.1999108,239.2749808,13360000,3.861001015,13473369.33,3207189.163
3932,57,4405,725.4371977,638.4670884,10200000,5.048999071,76346563.96,5725042.154
3399,56,3778,677.061892,625.1413126,9409000,4.707001925,66821623.12,4660727.294
741,51,776,170.8799074,75.21484332,5405000,3.793998718,17157258.1,1284299.722
3165,37,2615,762.0510048,666.6266481,22120000,4.436998129,20055073.33,5159615.089
4710,48,4722,776.8163946,669.925576,24650000,4.428999186,16918032,6474498.462
4998,43,4628,779.1583953,738.8212921,29310000,4.906000137,48151209.33,7423139.119
2404,54,2625,744.0032249,333.3698627,16640000,4.11500001,17028548.13,4307720.135
1439,44,1350,271.6764289,206.0479711,8825000,4.864999771,24565898.67,2647975.046
3033,45,2908,779.544116,661.7870575,23120000,4.454999924,18039028.96,5713135.488
1386,46,1356,229.0848912,175.5812532,7893000,2.869998932,25653589.08,2011400.599
1387,50,1436,278.5081278,307.9840809,11720000,4.360999107,18294444.92,2368735.937
3508,53,3770,772.3499504,638.5203497,22600000,4.145001173,19936036.17,5473385.821
1394,43,1292,301.5211688,118.6297086,7024000,4.596999884,21367448,2178824.895
4389,55,4820,764.7560329,525.5215274,19120000,4.479999781,21190574.67,5161930.548
3065,42,2774,758.0695645,473.7347792,18700000,4.088000298,28094570.67,4603470.672
3545,48,3572,773.8161948,687.5583408,23830000,4.467000008,21391008.17,5498108.357
2304,40,2011,322.9702232,391.0862046,12820000,4.411999941,26875564.73,3307603.158
1390,49,1424,312.6781255,147.6020347,8968000,3.471002102,19193191.67,2347976.582
4541,33,3403,780.114628,683.1888063,24890000,5.022999763,20281625,6726081.985
3532,49,3601,775.4340567,711.0500359,22950000,4.166000843,27352764.17,5428884.237
1428,49,1441,219.8915315,174.3848964,8441000,4.776000977,22578401.9,2200926.255
1485,46,1447,265.0715937,219.2644764,8666000,4.490000009,16515019.4,2075163.207
5320,49,5409,762.56802,629.3383254,22410000,4.846999884,19208251.33,6787546.405
2987,46,2902,719.7399479,578.5405264,20790000,4.235001326,22324393.88,4900713.858
1375,51,1421,384.7638655,165.8451183,10590000,4.024000168,16568787.91,2111418.033
560,30,381,89.16375956,20.76625189,2095000,3.360999107,19327292.92,514822.4382
706,37,582,117.5491014,16.66826519,2732000,3.25,21668080,759379.145
2403,55,2660,700.8544935,643.9132499,21430000,4.31799984,26659366.67,5029603.894
2721,41,2432,366.2059997,532.5075479,16700000,4.396997929,25237638.4,3811095.042
3867,41,3446,777.5485248,702.3915065,29570000,5.608999729,31889582.08,6359565.106
1963,41,1737,365.5838142,150.9725435,8927000,4.612000704,25914042.59,2025855.758
2804,33,2088,450.2562041,373.3388708,12770000,5.396000862,22171208.38,3677993.618
4897,32,3571,767.9413425,688.2368902,30910000,5.865997791,15623257.17,8527573.87
4676,40,4088,771.2710005,722.2329821,27190000,4.952001333,19778467.25,7024311.314
633,31,451,48.91133108,50.75448898,1996000,4.109000206,27195634.67,666443.2596
1691,47,1693,363.206186,221.9906306,10670000,4.330000162,21571415.17,2737411.85
2829,42,2569,568.9085753,553.4447489,19540000,4.063998938,24541321.38,4654940.621
2084,34,1592,299.1259304,223.4494731,8239000,4.676999807,26919349.33,2695881.31
4813,45,4606,779.7966273,738.4366541,27260000,5.121000052,17985546.43,6586265.114
2901,57,3283,770.9118709,526.0294751,19170000,4.916999817,33212565.33,5019082.506
4740,39,4073,769.0324763,702.5675805,26090000,5.199999809,29517245.33,7017162.709
3964,55,4336,779.1062454,698.8120766,22110000,4.991999865,22950928.67,6499521.304
3509,51,3669,775.2465773,663.7571652,23470000,4.360998869,30581336,7434640.664
5073,54,5511,782.050245,660.9672121,22550000,4.324001074,24966384.39,6213780.379
3068,36,2481,763.807678,511.4581862,19920000,5.390999317,18474072.2,4321947.999
4205,51,4407,771.2373191,684.9576115,23030000,5.220999241,21119413.83,5189228.051
1297,59,1492,328.3305956,264.7222298,10210000,3.992998123,28550942,2803659.387
5336,31,3793,774.6715295,615.0543827,23020000,5.612999916,23214890.67,6719679.076
527,37,441,32.99721921,7.868287424,918100,2.679998875,18444473.33,192511.3344
5229,35,4115,554.7096814,311.655308,15580000,5.557001352,29465483.29,7862852.399
1893,58,2145,565.9543876,285.2251075,12850000,4.143000126,14623734.67,2771612.576
1179,50,1225,360.6559683,236.0831508,10240000,4.306999922,18444858.77,2390063.153
4740,60,5488,761.6983119,432.5525181,18900000,4.469000101,18642866.67,5793392.063
1147,50,1194,474.8376357,128.0629962,9726000,4.500999212,17583130.23,2069422.269
2372,49,2408,565.2735528,509.4139306,17130000,3.912000895,19715258.21,3917301.337
2693,43,2491,765.4557783,486.7553933,18970000,4.726999044,19016772.56,4741453
3543,35,2794,787.4290475,685.1861827,20040000,5.772001505,38296211.17,5646555.949
1106,31,794,74.3769213,80.83150479,3376000,3.865998745,25762541.33,1306177.239
627,52,655,118.7063954,39.99989715,3624000,2.964999676,4273916.333,663478.3992
4124,51,4305,778.392758,754.5085525,25260000,4.707001209,25527301.6,6603918.77
963,30,671,34.67656318,99.08944446,3014000,3.531999111,16003398.67,982643.7584
3031,36,2447,773.6853951,561.9606988,20290000,5.35700202,19258755.92,4683155.305
1564,55,1743,428.3592282,336.0507577,14110000,4.496000767,15772934.67,2872636.713
1514,32,1104,196.6370712,111.1152002,5359000,5.157000303,26385093.33,1569236.126
3992,33,3002,779.4088074,675.3980986,24640000,5.377000332,18928662.67,5894994.012
4285,40,3737,781.6539374,716.0530708,34860000,5.079999208,25448127.58,6749436.165
2170,40,1905,277.1479886,233.6787271,8814000,3.225001097,25599810.67,2077321.198
5105,36,4100,775.6542463,682.7225826,28930000,5.509999275,24393447.5,8063374.121
1236,53,1330,283.3771516,182.4970624,8398000,4.494000912,18879216.58,2096224.666
2925,47,2895,772.4135504,647.9339092,23180000,4.12300086,17336449.33,5365402.869
3539,32,2580,709.1325589,573.8148153,21780000,5.505999803,21164096,5351661.128
1485,54,1628,526.4551052,343.528258,14270000,4.376997709,17020931.92,3247379.192
3000,52,3175,723.2855696,531.0949648,21090000,4.462001085,18470989.79,5691650.442
3957,56,4391,780.4077259,610.6512782,22170000,4.525999785,17571225.33,5564114.319
2622,51,2733,649.1082841,578.1482836,19830000,4.343999863,17868942.98,4462983.143
3846,30,2667,774.3053863,503.2735612,20100000,6.066999674,20093817.33,5484859.048
2311,58,2598,662.9877233,372.4798015,16040000,4.329997778,15532068.58,3734424.047
3430,33,2575,756.7032136,606.3732792,22880000,5.904000282,22387375.13,5537959.747
506,57,560,162.7963753,33.68410458,4476000,3.513999939,13435484.63,738927.5268
860,34,667,111.8527662,52.70149916,2800000,2.953999042,25312175.27,881251.5527
2083,42,1897,386.8527199,424.8811793,14180000,4.214999914,25842511.27,3583536.356
4954,51,5172,771.2747686,676.322247,24860000,4.527999163,33253514,6722552.878
3865,54,4191,781.2845387,651.8463056,21480000,4.892998219,20507805.83,5203044.48
3876,32,2832,786.9559581,618.1349883,24120000,5.097000122,22572956.18,5868144.838
577,42,520,87.69210329,19.48842537,2152000,3.100000143,23581914.67,494730.9077
4682,36,3765,784.9041416,732.4029464,35910000,6.57999897,20496414.67,7436613.78
4552,39,3918,768.4669466,733.0351593,25690000,4.904998779,23813608.33,7025796.394
2018,41,1811,422.2615747,240.0277635,10400000,3.527998686,23854704.67,2233208.779
5173,38,4354,765.0053942,707.2664164,35710000,5.487998486,22787876.67,8116081.162
4816,48,4832,776.0484496,722.8089742,25240000,4.729999065,26607119.33,6381309.371
4893,51,5108,773.4776649,648.6373265,22140000,4.409000874,29680502,6427424.23
2789,54,3025,764.3351147,562.1214447,20010000,4.382000208,37318999.33,5604840.487
5257,46,5111,766.5415975,748.6268689,25780000,5.491000176,24925458,7767179.923
4538,60,5253,757.4429505,385.7294474,19540000,4.388001204,22225356.13,5361017.463
5349,33,4006,764.2072459,698.4610841,25740000,6.313000917,18820701.33,8144336.214
3724,50,3800,773.455764,699.0828754,23210000,5.156998158,25379011.67,6451963.591
4039,37,3318,779.6381399,754.1513308,26150000,4.946000099,19787484,6201084.817
4663,46,4538,774.9613376,699.7951386,26430000,4.4150002,31143736.86,6659454.185
4133,32,3030,780.2378087,703.6793114,26240000,5.939999819,22328729.33,7401741.809
1307,46,1279,421.1633598,191.2987194,10230000,3.795999289,16273078.67,2379602.017
2030,35,1605,428.4823978,293.1371736,10610000,5.473999739,25791394.75,2647446.412
3641,41,3246,743.8142749,606.5615245,23690000,4.687999249,22417101.58,5085412.17
3994,56,4421,756.8557536,593.2451673,20710000,4.919001103,17224922.67,4971156.428
4259,48,4260,785.5057575,735.7207672,29230000,4.87300086,18991438.33,6311881.317
3497,49,3560,775.6232541,662.9131894,22580000,4.289000988,22397827.58,5670250.412
5418,33,4062,434.5017303,327.1459614,13840000,6.794001102,37831243.94,8127623.692
555,46,542,50.52205417,90.91683313,3353000,4.258000851,26822452,1201908.528
4893,30,3385,772.9003433,706.7923236,25810000,5.548999786,18625800,7757421.316
1076,47,1082,277.1684646,173.1990621,7910000,3.375001192,6546639.208,1727119.07
1568,59,1800,482.1158127,278.0850406,11900000,4.090998888,16275785.85,2912148.773
3012,31,2137,779.5176414,397.1254112,17900000,5.393999577,19894299.5,3902601.738
3979,51,4150,749.083569,632.9178956,22880000,4.482000828,26601161.63,5773861.645
2200,60,2539,565.4233875,439.184598,15630000,4.073999882,18198015.27,3884336.506
3665,49,3735,781.3762904,740.0003742,26770000,5.022999764,20778164.08,6144291.579
966,38,809,159.5424138,117.4394291,4960000,3.246998787,26122149.31,1327000.202
4970,31,3539,759.3890589,655.0323658,23310000,5.495000839,23419413.33,7273529.609
4790,43,4425,772.5612035,733.8219356,24950000,5.078999996,34196461.33,7572197.053
1679,45,1629,353.8022071,221.6903003,9832000,3.99800086,23021162.17,2426981.065
3968,57,4480,774.3545254,620.4109699,21520000,4.963000774,16382390.79,5431583.779
1801,41,1614,379.7443103,326.6329162,11770000,4.693999291,25198035.87,3074351.477
3887,42,3531,779.5812788,713.4261992,32380000,4.983000278,21914726.33,6597041.499
2160,37,1764,337.5538649,247.2568029,9133000,4.886001349,25749762.42,2324946.5
2511,49,2565,577.3784143,561.4349711,20390000,4.162000179,20232628.21,5538665.836
2605,54,2819,603.6160016,438.7687762,17230000,4.343000889,15016644.08,4643387.033
4970,53,5330,776.1064683,698.6914877,22950000,4.478001118,18998422.8,5572259.504
1247,34,971,109.2250009,116.9490706,3803000,3.512999058,26118696,1113029.552
2766,43,2554,765.1884429,558.181199,19700000,4.153999806,19010653.33,4642016.211
681,32,494,75.32466292,26.24142313,1934000,2.824999332,22302300.38,617115.831
3600,55,3961,771.8637928,631.6688325,20030000,4.76599884,30931502,6342898.657
4242,47,4179,763.2507267,694.4895943,22790000,4.58500123,28920072,6715385.781
5197,34,3988,764.9852826,735.703187,26790000,5.325998306,21927958.33,7973924.009
1206,54,1310,328.0624394,252.1440226,9768000,4.409002304,16890194.31,2616186.762
2222,54,2421,678.0258889,606.3885774,20730000,4.356000662,18007208,4532302.464
2573,42,2315,617.6321708,530.0703084,18640000,4.644999027,31387778.67,4809199.477
3712,43,3439,779.3077201,701.0933291,31290000,5.068998814,378791626.7,71615424.45
1370,42,1238,269.6115245,155.8241216,7149000,3.724999189,16818037.33,1491063.08
759,57,853,307.4595959,58.2019943,6335000,4.658000708,4850241.667,1421895.425
5135,54,5558,759.2891973,632.9633106,22200000,4.773000956,23825810.67,6217073.855
1499,56,1670,423.6849737,293.3687163,7638000,3.778000116,36798126.89,2401801.977
5034,52,5335,770.3529705,641.5167523,21460000,4.058999777,25005880,6636788.39
1129,42,1049,171.6374626,185.4711234,6208000,4.783000946,24769440.95,1636167.489
4147,30,2872,727.4751092,581.6641406,22810000,5.982998609,19693198.67,6111537.425
5356,45,5127,729.7862389,676.1416518,23520000,5.04599905,39547862.67,7654421.561
5264,36,4235,763.5849665,724.6907334,33820000,5.806000233,22345898.1,7508246.622
3252,60,3771,763.1427195,456.6900844,19370000,4.270998955,23342201.58,5085742.409
1552,33,1150,202.5594627,167.7431588,6528000,5.347001314,25981364.86,2026492.462
1398,32,1007,193.1516159,118.3317709,5478000,4.154997826,3732688.167,1244689.623
4302,52,4564,769.1043372,675.9605727,23320000,4.722000122,23876469.33,6011333.911
3629,51,3801,775.752185,669.2061978,22810000,4.537000179,23014269.83,5696257.088
2012,44,1907,364.6549303,299.2886059,12250000,3.371999025,24203953.33,3089803.89
3908,32,2862,775.5834903,688.6084648,24660000,5.057000399,19525655.17,5178198.183
4526,55,4985,772.9955154,676.2770285,22900000,4.44900012,21512752.08,5145294.966
4794,60,5550,784.55754,502.8071901,18790000,4.233999014,25123098,5063963.287
3328,49,3385,754.8573151,700.8472788,25000000,4.605000973,16820675.25,6104024.092
4452,44,4174,766.9619686,658.147753,23460000,4.617001057,21497904.33,6843146.068
908,45,878,192.8528877,46.48117492,3725000,3.622000218,20353038.67,833873.2176
3896,55,4292,766.7303946,636.4199313,20360000,4.727999926,16196998.67,4684313.33
5155,41,4601,767.0014038,768.2215277,27530000,5.359000921,29170844,8030709.027
5354,32,3910,766.7662785,725.5811769,25610000,5.902998924,23718096,7072306.569
4123,48,4113,709.8215181,674.4580947,23110000,4.991999865,20744789.83,5414035.284
3743,41,3335,782.1259023,706.2360727,30780000,5.228000402,19686952.79,6337856.85
2261,50,2346,444.7345766,403.3185747,15690000,3.740998983,19573709.2,3514922.979
4961,55,5461,760.8640327,659.0563298,21020000,4.222999096,25872423.08,5489546.297
1864,36,1481,293.6400033,87.30340528,7122000,4.120000124,26319594.35,2093067.04
2613,32,1924,724.6675354,219.242411,15780000,4.835999966,24840992.33,3666322.807
1045,40,921,135.9176609,140.2857534,5222000,4.024001122,14471738.17,1248562.091
1123,52,1170,278.8884565,187.2215938,8279000,3.722000837,16497596.12,2131951.326
715,37,583,76.77863511,51.64880408,2428000,3.118000031,17993662.67,569066.0767
3231,58,3645,763.3687421,509.9666803,18380000,4.601001263,32096326.67,4746068.081
4147,31,2958,782.6131556,652.5966779,25670000,6.200999737,23845995.83,6174446.996
4985,46,4848,758.6988252,730.8243677,23730000,4.517001152,30790204.15,7467469.097
3855,53,4124,764.6014468,713.8310675,22760000,4.232000113,19831467,5613887.529
4001,38,3369,783.7378028,710.3938723,33580000,5.101998568,20013991.67,7126894.686
3156,52,3363,738.9302174,604.8120796,19530000,4.506999016,17899980.75,4944446.211
5427,52,5743,658.3203545,539.7879906,20830000,4.116000891,30548398.83,9912695.923
784,54,865,98.95170261,78.89284624,4802000,4.308998108,16744160,1220345.112
813,38,691,131.4695875,78.17895424,3860000,4.118000746,28667858.67,1305724.545
3477,34,2665,764.4294016,642.6749949,22010000,5.073000193,19980285.33,5309245.899
2922,57,3305,779.5822724,476.9620023,17450000,3.763999939,17802590.08,4096652.521
2429,50,2509,601.267336,585.3525278,16630000,3.989001989,18928919.54,4010459.364
3938,55,4327,769.9080594,623.5923454,19840000,4.870000124,16988185.17,5196935.951
554,49,568,88.64145059,45.22451921,2687000,1.953999996,3777797.771,378410.9623
5113,56,5669,768.4460742,594.027229,21010000,4.031000137,44890049.33,6248738.806
594,59,685,110.8436037,72.3970055,4966000,2.806999206,13238274.67,982746.437
2493,59,2855,743.2750019,489.9312085,18390000,4.562999964,17888714.5,3964159.567
2078,32,1514,326.8823184,220.4892543,9360000,6.264001369,25758349.33,3218435.676
972,32,706,133.9136386,92.15053257,4074000,5.328000546,5489824.333,892185.2672
4968,50,5115,778.746046,679.3699752,23950000,5.358999968,34519132,7068184.675
1652,36,1316,255.3838856,136.1224362,6808000,4.309999704,15876452.18,2255585.896
1603,36,1307,251.8937465,232.1605004,8129000,3.981001854,23439456,2227107.774
4881,54,5275,767.7606925,640.2803145,21400000,4.368999958,25536861.17,5795555.81
3338,34,2558,783.0206443,573.4534063,21150000,5.348999739,20890705.85,5139759.177
2902,59,3315,731.9971127,511.7671964,19500000,4.212000847,17126803.4,4165499.897
860,60,987,263.7569713,107.8051446,6183000,4.349999905,5624324.417,1125823.798
1124,34,861,131.9056269,80.92623561,3711000,4.237000227,25846282.74,1134756.253
2215,38,1861,420.0366948,371.5008934,12250000,4.724999905,24360785,3059286.441
2895,54,3147,773.365457,528.1362593,14390000,4.449998856,61249366.67,6167903.885
4218,50,4346,767.649195,572.8191993,21530000,4.383000135,19959630.17,5435387.924
797,44,756,68.3097988,86.18110171,3617000,3.662000179,21441224,946136.6253
4322,34,3311,778.4626169,697.9288931,33430000,6.050998926,20046777.71,6365139.492
2421,59,2774,768.8530141,410.7574084,16840000,3.981001139,20326071.67,3746423.139
2612,43,2418,670.1146127,515.6527707,19180000,4.392998934,25259581.33,4222751.595
933,35,742,123.8431079,110.8341965,4446000,4.366999149,19542869.18,1302410.611
4601,46,4473,776.1139029,699.1075176,33000000,4.978999853,271893013.3,65529387.08
3349,34,2575,755.9082008,537.8266994,20670000,4.704000473,21646366.25,5366868.957
4666,36,3755,785.8209379,697.7323572,30630000,5.825999975,20274805.25,6503322.56
4635,37,3820,789.0920524,711.1905097,33420000,5.216001034,202986082.7,7617750.947
3870,58,4399,780.9687614,643.5465925,22120000,4.390002012,23527843.17,5816273.61
1427,60,1666,435.10188,317.0204395,11940000,4.232000113,18935197.46,2863683.909
3331,52,3528,769.6408742,664.7741433,21950000,3.922999859,27453432.08,5994169.492
3443,55,3771,773.5176603,646.6758597,20730000,4.563999176,22473623.67,6442825.239
3003,43,2783,760.0016012,578.9219006,22960000,4.442000866,26351336.47,4407982.196
4171,39,3571,784.5732638,713.5036346,33410000,5.447999716,15878566.77,6325660.081
3601,48,3602,772.0981755,670.199776,23790000,4.306999922,17661461.54,4889345.651
2714,38,2287,676.3839801,509.0605691,18380000,5.090998888,25431715.97,4244125.647
1741,55,1902,434.7799028,499.5799567,14950000,3.802999973,17749253.83,3191195.624
4958,37,4089,759.1165932,727.1424222,35420000,5.753999949,16779765.25,7004346.274
4555,56,5049,772.3835771,687.5547231,21730000,4.974999905,22875886.79,7062021.372
2348,47,2318,674.9444649,418.4389798,17590000,5.081001043,19941009.67,4460866.724
1137,40,1002,68.61336669,94.73900915,3426000,3.871999025,23640689.47,1057703.491
4637,38,3904,777.5540309,747.6654087,28590000,5.258000374,28010120.67,6158704.88
3471,44,3251,782.939179,662.7652121,25120000,4.549999952,16784307.08,5833690.337
3295,55,3607,773.9496679,578.6338307,21400000,3.880999088,36853178,6160838.714
5399,44,5084,767.21061,710.1849924,25220000,5.592998743,21087245.33,7536934.485
3312,53,3553,778.4094783,652.4934585,21440000,5.262001753,19962680.33,5634156.5
4812,54,5211,771.4509182,566.5685841,20130000,4.634000063,22900900.35,5562930.481
3522,49,3570,779.2910269,728.5999575,24430000,4.782000065,18682281.33,6854394.721
1302,35,1036,189.2689462,85.94532068,5285000,5.182000637,24577544,1680786.173
2244,46,2191,547.0632339,498.3220876,17700000,4.719999075,22242103.75,3779771.223
3050,45,2911,773.0245621,635.2707926,21980000,4.346999168,25059755.29,5199465.103
4271,34,3291,778.9849882,723.427368,34310000,5.524998427,17785409.63,6614871.884
851,55,955,162.4816693,153.0150276,7289000,2.735998869,16075778.38,1624172.623
4121,54,4493,780.8187603,645.2276486,22000000,4.562999964,33423126.67,6297032.314
1709,33,1280,336.6090966,190.5464424,7900000,4.52300024,25290301.42,1766169.565
3440,36,2773,782.3989027,650.9493648,24570000,5.236001253,20776635.78,5839051.64
2425,51,2528,471.8618064,621.6037327,18970000,5.134997845,17621896.33,4475866.608
3091,44,2904,774.9198682,620.0301342,22650000,4.730000019,19055037.96,5533668.995
